thumb-index,index-middle,middle-ring,ring-pinky,palm_normal_angle,class
113.40329,46.50493,46.38304,49.72146,158.58311,four
114.11204,46.85398,45.90712,49.38254,158.23341,four
39.50721,10.24304,11.59183,13.09467,143.76689,zero
39.64208,10.26043,11.60328,13.10785,143.84001,zero
39.34891,10.26626,11.71676,13.13146,143.89522,zero
39.24785,10.38989,11.74475,13.14511,142.8942,zero
39.04956,10.35181,11.75095,13.09914,142.6319,zero
39.01283,10.38527,11.7949,13.11541,142.22007,zero
39.01599,10.39543,11.78193,13.13254,142.35876,zero
39.23965,10.37581,11.6458,13.00739,142.98415,zero
39.3003,10.2898,11.58575,12.92492,143.68964,zero
39.63387,10.3406,11.55379,12.93185,143.81179,zero
39.84527,10.3823,11.54809,12.91517,143.67714,zero
39.88987,10.38381,11.54936,12.88924,143.3759,zero
39.79588,10.3639,11.55954,12.8937,143.28379,zero
39.6177,10.26202,11.53246,12.90733,143.37853,zero
39.65919,10.22062,11.48435,12.93784,143.46341,zero
39.12309,10.19505,11.57187,12.98882,143.44135,zero
38.5813,10.16992,11.68874,13.07636,143.51446,zero
38.89557,10.29194,11.7129,13.06353,143.66631,zero
39.40638,10.24654,11.6173,13.01415,143.40074,zero
38.6409,10.2502,11.77171,13.03936,143.37798,zero
44.6479,13.57936,14.40963,13.97715,117.30256,zero
43.84223,13.32357,14.35491,13.34576,121.02751,zero
44.90649,14.05838,14.65019,13.85606,116.81816,zero
45.87953,14.0779,15.07223,14.26412,117.52265,zero
44.71719,13.53257,14.55742,14.38421,120.38248,zero
41.60843,12.83587,13.69915,13.69794,125.97776,zero
41.77198,13.23184,13.80666,13.67138,124.59698,zero
44.0158,13.8804,14.47269,13.89802,120.52933,zero
46.56947,14.66066,15.43386,14.05179,116.52569,zero
45.82953,14.11098,15.20299,14.4166,119.36954,zero
37.14257,9.93914,12.78824,13.58549,133.38193,zero
36.54082,9.95688,12.70728,13.41658,134.46649,zero
37.07505,10.07304,12.75525,13.42194,134.99265,zero
36.34487,9.88571,12.81283,13.50305,134.21375,zero
35.75294,9.92429,12.9083,13.55019,134.78598,zero
37.11424,10.12601,12.76984,13.52972,136.21068,zero
36.71362,10.20219,12.88728,13.45579,136.55138,zero
35.53936,10.05123,12.97605,13.54504,136.05335,zero
35.03297,10.03546,13.04082,13.53871,135.61194,zero
34.82068,10.02542,13.06522,13.52294,135.68406,zero
39.6955,9.40261,12.08488,12.90147,147.98568,zero
39.902,9.37964,12.03856,12.95733,147.81796,zero
39.9519,9.29917,11.99018,13.00589,147.14117,zero
40.36282,9.34384,12.00806,13.04775,147.10435,zero
40.57832,9.38256,12.04308,13.06806,147.44068,zero
40.50571,9.33555,12.09247,13.10433,146.61389,zero
40.29922,9.18267,12.05632,13.10625,146.24099,zero
40.46129,9.1241,12.06545,13.11228,146.21312,zero
40.4563,9.1918,12.05389,13.07506,146.08015,zero
40.29263,9.33087,12.07136,13.10092,146.18006,zero
44.77821,8.82725,11.56269,14.54787,110.7487,zero
45.16117,9.11215,11.57627,14.36035,111.44643,zero
45.28334,9.03895,11.48419,14.48746,111.00199,zero
45.99993,9.4122,11.59388,14.25598,110.59136,zero
46.14824,9.5024,11.68301,14.21526,109.98846,zero
46.20433,9.49106,11.67535,14.28658,110.34248,zero
46.27405,9.48315,11.64637,14.37969,110.40592,zero
46.3166,9.54682,11.74524,14.4568,111.10992,zero
46.74781,9.86182,11.92641,14.3157,111.46109,zero
46.48083,9.72729,11.84676,14.20967,110.84055,zero
50.3222,14.38642,14.07975,13.06257,105.55842,zero
50.33784,13.94378,14.56294,12.9205,102.99465,zero
49.96619,13.85031,14.43275,13.05238,105.82147,zero
49.66786,13.98583,14.64478,13.43236,103.73314,zero
50.89801,14.19167,15.26962,13.75888,103.13526,zero
47.6017,13.37882,14.1639,13.15919,107.0316,zero
48.73951,14.47026,14.36222,13.42368,104.87906,zero
48.15099,15.49441,14.9112,13.67761,105.99245,zero
47.82383,15.2259,14.47999,13.40758,107.23132,zero
46.6839,15.1217,15.17372,12.9479,111.11556,zero
42.6548,12.78661,12.19039,15.00818,132.57153,zero
42.9118,12.6313,12.07523,15.12881,133.29411,zero
43.59884,12.55342,11.91359,15.2242,134.04809,zero
44.09886,13.86265,11.98882,15.25395,133.00384,zero
43.23945,12.54744,12.48502,15.426,131.58021,zero
42.94412,12.57689,12.59605,15.45465,131.58575,zero
43.11238,12.4782,12.42156,15.42973,131.48549,zero
43.2659,12.43612,12.3713,15.38247,131.66468,zero
43.16309,12.60108,12.38347,15.35593,132.00285,zero
43.03946,12.92145,12.44853,15.37436,132.48067,zero
39.67231,11.09378,11.0988,12.91354,152.29881,zero
39.20895,11.12405,11.50881,13.44159,153.86889,zero
38.24385,11.1947,11.82471,13.83182,155.0084,zero
37.84106,11.08176,11.58343,13.73233,153.66344,zero
38.14493,11.45048,11.5647,13.45677,153.85747,zero
38.3187,11.43193,11.57727,13.3799,153.70484,zero
38.74784,11.28734,11.56234,13.13642,153.32754,zero
38.73419,11.21289,11.50065,13.24839,153.12962,zero
37.98884,11.05232,11.46806,13.55712,152.86118,zero
37.56227,10.91728,11.50123,14.26721,152.91912,zero
36.6979,10.19944,12.94448,14.35555,137.81591,zero
36.70093,10.54615,13.24038,14.47217,139.01398,zero
36.45272,10.40683,13.2586,14.48858,138.81536,zero
36.80175,10.22371,13.09055,14.37356,138.08099,zero
36.99596,10.36421,13.22199,14.53779,138.35037,zero
38.37861,9.9205,13.07394,14.66278,138.49986,zero
38.67218,9.96576,13.10222,14.70985,138.99365,zero
38.27374,9.95798,13.10597,14.63781,139.63363,zero
38.12179,10.03855,13.10362,14.56326,139.86625,zero
37.65425,10.24667,13.08493,14.4478,140.91358,zero
50.45503,12.95575,14.17475,14.95234,124.52257,zero
50.12107,12.49486,14.16893,15.23428,123.77594,zero
50.2396,12.52013,14.37358,15.30575,122.94138,zero
50.19479,12.5915,14.49488,15.30914,123.02005,zero
49.76419,12.66069,14.52959,15.17245,124.34276,zero
49.80467,12.49428,14.32141,15.15513,123.8941,zero
49.94227,12.66466,14.27682,15.03598,124.37798,zero
49.86382,12.47129,14.22783,15.12516,124.19496,zero
49.62803,12.13564,14.2542,15.41195,123.21556,zero
49.37572,11.94087,14.34649,15.44709,123.33831,zero
41.49364,11.40794,12.32649,13.73741,142.73675,zero
41.91159,11.37953,12.13264,13.59963,141.80852,zero
41.50677,11.4907,12.23337,13.5636,141.81941,zero
41.19701,11.68902,12.36613,13.64457,142.92456,zero
41.73453,11.56842,12.37001,13.46916,142.05956,zero
41.68133,11.10464,12.27134,13.305,141.13632,zero
41.49904,11.21287,12.32508,13.40586,141.43124,zero
42.00806,11.43268,12.25407,13.32874,141.30286,zero
44.14884,10.83821,12.77614,13.69625,139.86356,zero
44.34338,10.36126,12.85339,13.80138,138.39208,zero
37.22319,11.73347,12.86444,15.04004,124.54328,zero
36.93177,12.25153,12.83443,14.77182,124.77321,zero
37.6759,11.88844,12.97921,15.02357,125.4665,zero
37.29195,12.33111,12.84318,14.75915,126.52703,zero
37.16346,12.26072,12.87222,14.93304,126.62885,zero
37.20087,12.19699,12.90871,14.92212,127.22673,zero
37.40231,12.09363,12.98146,14.92855,126.40068,zero
37.4666,12.05362,13.04054,14.93528,125.75268,zero
37.35325,12.06741,13.03437,14.91727,125.98602,zero
37.29263,12.08849,13.03866,14.87675,125.74362,zero
50.23204,10.48009,12.00802,16.57613,129.67129,zero
49.33886,10.1298,12.28837,16.48434,128.70997,zero
47.77585,10.16539,12.22711,16.52283,127.54907,zero
47.89511,10.50076,12.38644,16.17299,127.88361,zero
47.77901,10.39704,12.64385,16.22526,128.50169,zero
47.76234,10.48388,12.96295,16.16003,128.69553,zero
48.01754,10.31549,12.68517,16.28427,127.35045,zero
48.18036,10.27107,12.31027,16.03977,126.59978,zero
48.34579,10.33475,12.26816,16.04512,126.78685,zero
48.51664,10.26502,12.26891,16.19888,126.6181,zero
50.93298,7.23692,11.23871,14.9606,125.52642,zero
51.20866,7.23065,11.49356,15.1665,123.57312,zero
51.43203,7.08978,11.53389,15.16996,123.2218,zero
51.49828,6.98256,11.5141,15.17165,123.19764,zero
51.95871,7.07861,11.57214,15.01704,124.44484,zero
52.39845,7.15453,11.4873,14.91193,125.38594,zero
52.28344,7.30326,11.50972,15.00026,125.36704,zero
52.22595,7.44152,11.59823,15.06949,125.28815,zero
52.0708,7.38124,11.49342,15.01211,126.03417,zero
52.20187,7.28762,11.4003,14.93495,126.56267,zero
40.44292,10.34915,14.07701,15.91162,136.833,zero
41.48709,9.95839,14.15857,16.03802,136.01494,zero
41.35373,9.79063,14.45154,16.0812,135.10878,zero
41.796,9.64641,14.46822,16.19514,133.95449,zero
41.9396,9.54419,14.30072,16.17176,132.9286,zero
41.26204,9.61169,14.21995,16.21158,133.76879,zero
40.49313,9.97292,14.22426,15.9991,135.63418,zero
41.93721,9.91625,14.32763,16.07373,134.90324,zero
42.22456,9.83521,14.32891,16.20792,134.58266,zero
42.20051,9.79357,14.18771,16.08065,134.75107,zero
39.79959,11.45245,12.17222,16.38628,154.79012,zero
39.52214,11.4337,12.24488,16.58197,155.35258,zero
39.97036,11.35919,12.21574,16.42216,155.20063,zero
39.99616,11.40433,12.27203,16.50776,155.40448,zero
40.02047,11.53654,12.25425,16.23515,154.81131,zero
39.49384,11.57044,12.26423,16.52908,155.08547,zero
39.25609,11.56806,12.2019,16.60272,154.57509,zero
39.52188,11.53,12.18864,16.37571,154.04602,zero
39.61792,11.42503,12.21732,16.15249,154.1161,zero
39.91291,11.39239,12.21454,15.74397,154.68398,zero
45.36306,11.85956,12.61914,14.02412,140.4878,zero
44.98495,11.9484,12.86118,14.04029,138.05273,zero
46.11772,12.41736,12.75303,14.0261,137.07895,zero
45.28499,12.81036,12.69286,14.02542,137.27787,zero
44.28474,14.80144,12.95512,14.04329,137.01818,zero
44.56507,13.87203,12.85157,14.02412,137.64025,zero
44.64329,12.87936,12.84175,13.9896,137.71948,zero
45.28092,12.29877,12.69777,14.07254,137.40843,zero
46.05133,12.34144,12.71537,13.99049,137.97748,zero
46.37196,12.54724,12.59488,14.09719,138.3105,zero
50.87531,8.79668,12.02691,14.37228,130.99323,zero
51.76459,8.77411,12.03856,14.77548,130.74944,zero
51.65499,8.44588,12.09397,14.99694,131.18776,zero
51.76871,7.96707,12.56735,15.39083,128.95789,zero
51.24163,7.68407,12.42132,15.24713,128.8392,zero
51.23944,7.85321,12.15701,15.18867,128.1383,zero
50.96655,8.15723,12.15355,14.94351,127.53671,zero
50.6153,8.1239,12.02381,14.91735,127.68797,zero
50.45169,8.24918,12.01286,14.90904,127.4574,zero
50.94019,8.17231,12.18203,14.93193,127.96418,zero
37.8176,12.81709,14.33244,16.2115,127.71339,zero
38.98875,11.67354,14.46514,16.12281,128.58839,zero
39.17775,11.51537,14.47379,16.12186,128.33883,zero
38.83521,11.67455,14.47981,16.07354,128.4881,zero
39.0207,11.19325,14.63544,15.78976,129.00435,zero
38.6568,11.29365,14.90708,15.45145,128.48501,zero
38.11301,11.8575,14.86103,15.17758,127.96283,zero
38.49524,11.4651,14.76725,15.35551,126.88351,zero
39.43517,10.93411,14.76301,15.75646,127.22544,zero
38.29896,11.38031,15.18677,15.4448,126.47494,zero
74.6369,100.33204,11.75056,14.44667,144.03212,one
73.48047,99.40041,11.77786,14.42583,144.30973,one
72.86301,98.94086,11.82398,14.43639,144.47957,one
73.08846,99.44255,11.86593,14.41642,144.2753,one
73.70708,99.98035,11.90969,14.38593,143.40606,one
72.91944,99.00441,12.02097,14.22229,144.08478,one
74.90661,99.91286,11.94739,14.20375,144.28577,one
75.83518,100.43788,11.93702,14.29514,143.46841,one
75.14944,100.1938,11.93231,14.34717,143.29536,one
74.8728,100.17975,11.91707,14.32394,143.70898,one
73.96025,102.66613,11.44717,14.88962,139.42986,one
77.23689,103.68017,11.96482,14.63746,138.18059,one
80.35532,104.15688,12.78612,14.51299,136.15366,one
79.34935,103.76701,12.66189,14.66795,136.34425,one
74.86697,103.1097,11.68377,14.96918,139.02558,one
73.89355,103.5555,11.3751,14.9991,140.17192,one
75.14493,103.92193,11.70819,14.89615,139.66755,one
76.03722,104.22105,11.82257,14.90231,139.56471,one
78.12659,104.08492,12.20823,14.78728,137.83913,one
80.68865,103.52849,12.67762,14.58712,135.35615,one
82.41569,98.88633,14.66713,14.95277,155.20067,one
81.98791,98.34271,14.72078,14.96035,155.27464,one
82.36021,98.47486,14.60408,14.91884,155.14728,one
82.04541,98.81762,14.5479,14.92495,154.9484,one
82.36105,99.07361,14.47906,14.88497,154.88825,one
82.73482,99.22576,14.42782,14.90292,154.95078,one
82.91542,99.27448,14.5539,14.99086,155.30189,one
84.50024,100.17864,14.62424,15.00748,155.08294,one
84.03456,100.60544,14.60152,15.02237,156.01334,one
81.48386,99.30637,14.3323,15.10114,155.84007,one
77.94907,98.36916,16.16146,15.04965,173.26049,one
76.53001,95.75823,17.85447,15.08084,172.85004,one
75.77384,92.33367,19.87205,15.09471,173.61061,one
76.19387,92.91441,19.20702,15.09561,174.33753,one
75.8268,93.71252,18.19587,15.0451,174.96876,one
75.14242,95.97324,16.50309,14.99283,173.4934,one
75.51016,94.60675,18.008,15.01244,173.25887,one
75.30389,95.4964,17.19404,15.00423,172.71126,one
77.03059,95.7688,17.92146,14.98252,173.88567,one
75.92209,92.86372,18.31277,14.981,174.58091,one
74.51277,92.33506,15.92261,15.92561,154.56976,one
70.78036,88.18945,16.34269,15.81083,151.28125,one
72.13751,89.17519,17.17598,15.74203,152.47799,one
73.64083,89.49379,17.61699,15.8885,154.20806,one
73.67841,89.90092,17.26635,15.83982,154.49012,one
74.89857,89.04266,17.93753,15.93646,155.6755,one
76.9841,90.49912,17.86591,16.08463,157.28251,one
76.47525,90.80221,17.49014,16.07408,157.54841,one
76.31231,89.94479,17.39902,16.16565,156.62602,one
76.79467,90.09617,17.0827,16.00945,157.04837,one
82.71589,103.12806,13.09559,14.8289,141.35892,one
81.47271,101.07236,13.06228,14.7801,141.28148,one
81.16708,100.67729,13.00766,14.80027,141.4379,one
81.28379,101.04143,12.97645,14.7791,141.48688,one
82.3046,101.76508,12.97851,14.89,141.90064,one
82.87374,101.34042,13.06901,15.01515,142.29412,one
83.22416,101.50858,13.14195,15.20323,142.61753,one
83.14773,102.35143,13.28984,15.18808,142.89905,one
82.32973,103.29514,13.05053,15.11352,143.19692,one
82.25574,103.2512,12.97828,15.10909,142.80181,one
88.26952,105.16629,11.52251,14.24912,131.7092,one
87.65025,103.85709,11.53129,14.26144,131.51192,one
87.06225,103.25012,11.20768,14.30031,131.96745,one
87.38629,101.63797,11.14417,14.27642,130.9068,one
87.27977,102.28492,11.25434,14.39097,130.19955,one
88.85049,103.65736,11.51408,14.30349,130.13935,one
88.13638,103.87714,11.38344,14.22687,130.80983,one
87.57789,102.8905,11.42433,14.10973,131.30662,one
86.9922,102.98695,11.11995,14.19331,131.80284,one
86.60585,102.97408,11.00126,14.37185,131.67162,one
70.79977,85.60845,16.84893,14.80102,156.05286,one
71.15779,86.77135,16.23675,14.76312,155.26713,one
71.73076,86.45122,16.38346,14.89028,155.72475,one
71.61689,84.75028,16.91198,14.98406,156.86096,one
72.55122,85.18061,16.80316,14.97573,156.12213,one
72.88125,86.61995,16.65796,14.84279,156.62096,one
74.18787,87.57963,16.72953,14.91163,156.44708,one
74.09111,87.54617,16.62188,14.93811,156.87607,one
73.05568,86.19169,16.57899,14.90189,156.97333,one
72.19272,84.68425,17.18747,14.87838,157.30178,one
66.74815,90.26247,15.23532,14.93192,172.17466,one
65.66594,89.61708,14.94635,14.96864,171.15893,one
65.77609,89.62099,14.43633,15.00964,170.52008,one
66.84698,90.68544,14.49449,14.99823,170.3366,one
67.64578,91.46011,14.56836,14.94482,170.48178,one
67.46409,90.99337,14.47279,14.97668,170.49234,one
66.84626,90.36475,14.48743,14.96094,170.42624,one
67.65234,91.19167,14.55869,14.98608,170.43852,one
67.75872,90.9903,14.70712,14.98413,170.72869,one
67.76167,90.82184,14.75688,14.96831,170.88786,one
75.79284,102.31159,11.83385,15.46325,164.63161,one
75.90001,103.81071,11.75891,15.47598,164.09818,one
76.48238,102.76649,11.90166,15.46388,163.4978,one
74.35527,103.52912,9.86042,15.66013,165.38635,one
75.98163,105.99207,9.29184,15.82545,164.52441,one
78.52345,108.15581,9.20086,15.86246,164.43962,one
77.29181,104.1444,11.89842,15.62392,165.0633,one
77.44032,105.08212,11.71059,15.60817,163.04491,one
77.77728,103.59676,11.27788,15.6927,164.27583,one
76.89287,103.50687,11.29523,15.72334,166.34715,one
81.24599,103.30662,14.53451,14.92004,152.90367,one
81.04032,103.18056,14.53698,14.91873,153.0389,one
80.87222,103.06924,14.53985,14.88135,153.71208,one
82.54288,103.96763,14.23313,14.9663,151.87565,one
80.7719,101.57413,13.84222,14.71759,152.15122,one
80.87511,101.66613,13.89708,14.74167,151.47895,one
80.55812,101.44415,13.84043,15.28548,150.75374,one
81.15867,102.23308,13.9059,15.15704,150.9116,one
81.04949,102.25168,13.90984,15.1835,150.62723,one
81.49943,102.53342,13.81419,15.16532,153.44021,one
66.38027,95.32359,13.67322,13.59348,138.72844,one
66.96858,95.38477,13.71134,13.63702,138.52818,one
66.60447,95.61364,13.72963,13.72093,139.48819,one
67.35981,96.87982,13.88698,13.64262,140.02022,one
66.59623,96.43661,13.92832,13.63034,139.83657,one
66.72739,96.63487,13.9778,13.63245,139.77576,one
66.76072,96.59151,14.01968,13.59107,139.00425,one
68.61208,96.15682,14.17721,13.59579,138.8025,one
69.05527,95.69582,14.13857,13.64409,138.74367,one
68.73808,95.59605,14.15563,13.69154,138.91274,one
82.49855,104.76302,14.41633,15.16481,162.1872,one
84.21771,105.77212,14.27776,15.13055,163.83094,one
83.56042,105.3412,14.3175,15.03617,164.62433,one
83.28182,105.29176,14.30827,15.04643,164.88093,one
83.28954,104.96844,14.25828,15.03475,163.68156,one
83.73381,104.94144,14.18043,15.05669,163.36895,one
82.47952,104.21052,14.49002,15.07005,162.18578,one
82.38175,104.25872,14.33532,15.02542,162.54037,one
83.23235,105.06756,14.25448,15.06683,163.53873,one
83.62648,105.0688,14.20875,15.04867,163.45237,one
80.88869,100.15905,15.14287,14.0806,147.75144,one
80.93428,100.55579,15.37807,14.27354,148.12881,one
81.49851,100.16821,15.24248,14.08235,147.74281,one
81.29612,99.58916,15.33367,14.03686,145.33809,one
81.46266,99.50307,15.4628,14.08867,144.3843,one
81.7428,99.99613,15.59524,14.20388,144.48758,one
80.56406,99.72883,15.8288,14.4197,144.57119,one
79.78094,98.05392,15.45348,14.12297,142.92437,one
78.07031,96.62835,15.4851,14.19494,142.58609,one
79.6862,98.13869,15.59665,14.23539,142.70175,one
83.44339,103.8325,15.13929,15.03755,169.21943,one
82.71742,103.8027,14.77701,14.82084,171.264,one
82.94482,103.759,14.83502,14.82933,171.41599,one
82.52689,103.78401,15.21106,15.14593,170.45268,one
82.92245,104.58096,15.2043,15.19156,171.58911,one
81.73273,104.0425,15.10142,15.16233,170.67774,one
81.73047,103.96451,14.99831,15.13184,170.20409,one
81.64651,103.90598,15.0056,15.14464,170.27216,one
81.17033,103.74349,15.11259,15.20235,170.81893,one
82.05148,104.15195,15.23961,15.26457,171.35258,one
70.66309,97.26665,14.35473,12.88771,141.0835,one
71.12047,97.15445,14.34575,12.88786,140.82865,one
70.93246,96.95932,14.3555,12.86755,140.90369,one
70.63669,97.38775,14.37978,12.84128,141.09843,one
70.23011,97.22199,14.35848,12.83895,141.20516,one
70.25079,96.94357,14.38337,12.84593,140.40962,one
70.49589,96.94018,14.40513,12.86571,140.22045,one
69.90029,96.97734,14.40815,12.85223,140.60632,one
69.96701,97.73674,14.36754,12.82593,141.69785,one
69.33293,97.67102,14.37075,12.8417,141.64811,one
89.92249,113.32332,15.14553,15.37522,114.5237,one
89.61113,113.22251,15.2367,15.36906,113.90241,one
89.10225,113.52515,15.20364,15.35033,114.33061,one
88.55199,113.71352,15.16415,15.34013,114.29151,one
88.27016,113.9024,15.1678,15.34371,114.35932,one
88.1572,113.88947,15.16105,15.34382,114.85616,one
88.254,113.97765,15.14589,15.33933,114.83463,one
88.12537,113.87946,15.06146,15.32065,114.75246,one
88.21603,114.00233,15.0457,15.33273,115.04372,one
88.05209,114.00508,15.14771,15.37129,115.29556,one
82.05121,111.92844,15.50991,15.74085,115.15901,one
82.37361,113.07898,15.23467,15.8295,114.54452,one
82.70486,113.29456,15.16838,15.85534,114.77009,one
82.63218,113.03877,15.27063,15.9784,115.14129,one
83.41019,113.29948,15.26414,15.97007,115.5291,one
83.93398,113.41091,15.3107,15.95942,116.39196,one
83.72499,113.24982,15.42804,15.98926,116.29288,one
84.13188,113.45483,15.47956,16.01318,116.92352,one
83.99762,113.31114,15.51532,16.01854,116.91833,one
84.53448,113.40643,15.51264,15.92589,117.83317,one
85.0118,97.34818,15.59822,16.7481,125.92588,one
86.95162,97.98892,15.38772,16.54514,125.67477,one
84.4075,95.83942,15.61183,16.89496,125.38173,one
81.71944,92.21196,15.624,17.43137,125.19096,one
77.49046,89.89851,15.14501,19.0581,124.96604,one
83.10308,93.20866,15.72198,17.95763,125.13443,one
82.92116,92.46136,15.29429,18.40154,125.06034,one
85.53612,95.76789,15.36111,17.72604,126.24709,one
84.52363,96.26899,15.53667,17.19539,126.12157,one
82.51407,95.51024,15.51901,18.03625,125.83856,one
96.98247,112.70432,17.16551,14.74596,138.03793,one
97.17263,112.58145,16.93259,14.54849,138.76912,one
96.45906,113.09171,17.007,14.66792,137.81267,one
96.40722,114.34289,16.72631,14.77136,136.73164,one
96.69328,114.83105,16.52227,14.71228,136.47729,one
96.80082,115.12679,16.52849,14.8587,136.16436,one
96.80908,115.22627,16.50811,14.69961,136.08241,one
96.78629,115.23,16.53909,14.55859,135.83924,one
97.52403,115.63603,16.43478,14.50821,136.13877,one
97.40913,115.59223,16.38458,14.48037,136.63966,one
91.24026,53.36192,100.32063,14.79741,158.45196,two
90.46265,53.52817,101.47832,14.93796,159.09426,two
91.56493,53.37919,100.00146,15.11905,159.19905,two
91.09898,53.90704,100.33058,15.1323,159.30877,two
91.58171,53.46763,99.25919,15.26389,159.07728,two
91.82379,53.02737,98.88768,15.38062,159.92152,two
90.8017,53.78789,99.1095,15.23262,159.70635,two
90.63742,54.1156,99.00474,15.30252,160.04999,two
90.81403,53.82294,98.52203,15.75322,159.83395,two
91.87143,53.78646,98.26099,16.16093,160.20226,two
92.32088,46.4594,104.84991,14.00369,142.29306,two
91.70152,45.90559,104.37743,13.93969,142.76299,two
94.9702,44.51687,103.84255,13.99231,142.42437,two
92.77968,44.02494,103.38908,14.04701,142.92627,two
92.93823,45.29329,104.80013,14.11115,143.06953,two
93.88372,44.51184,105.66518,14.00893,143.25542,two
94.18535,44.93856,104.59193,14.01565,143.28961,two
93.22072,44.5183,103.712,14.03974,143.12537,two
91.52457,45.00522,103.4967,14.02074,142.90156,two
90.96338,45.19338,103.592,14.17017,142.50239,two
104.37108,53.51575,105.76405,15.89754,129.31317,two
104.24071,53.39169,105.45765,15.98126,129.33559,two
104.0163,53.77389,105.91898,15.91388,129.75381,two
103.54476,54.11414,105.85965,15.86686,130.12575,two
103.64793,54.2992,106.93039,15.79082,129.44666,two
105.35104,53.4804,104.98681,15.88789,130.37595,two
105.50958,53.26995,107.08072,15.61517,126.88844,two
107.03185,53.63329,107.21606,15.53027,125.9163,two
104.07539,54.65393,107.94795,15.71524,128.22355,two
105.56543,53.9228,107.40975,15.75931,126.83534,two
85.78941,43.96394,97.58574,16.0619,167.62426,two
84.50442,44.39993,92.07301,16.94038,167.94635,two
84.05856,44.38087,94.2375,15.7815,168.29896,two
83.98953,44.28647,95.22706,15.50517,168.46017,two
83.70496,44.09171,95.204,15.80345,168.43165,two
84.74711,44.16671,95.06567,15.2837,168.23267,two
85.1279,43.64145,94.71767,15.37451,168.28075,two
84.67976,44.04538,93.9938,15.75072,168.41155,two
84.67094,44.50447,94.78708,15.9295,168.55326,two
83.96178,43.80037,97.00691,16.02446,168.68682,two
104.34306,53.26793,109.81602,15.96139,146.76945,two
104.38882,53.40506,109.90784,15.8215,146.38179,two
104.51453,53.32407,110.02982,15.85846,146.95383,two
104.54112,54.21481,109.77721,16.00378,147.39648,two
105.36665,54.72385,109.50201,15.40904,147.12632,two
105.22144,55.40049,110.13001,15.23304,146.79729,two
105.44875,55.24841,110.40375,15.15273,146.45897,two
104.19478,55.7149,109.33939,15.02891,146.66274,two
103.68869,55.29853,109.37118,15.71452,148.30477,two
103.82024,55.85399,109.36285,14.29276,146.18199,two
104.6066,55.3281,112.92233,14.78804,130.38873,two
104.95208,55.54361,112.34719,15.19023,130.85199,two
101.47326,55.76589,111.07615,15.56766,133.39413,two
100.90685,57.24763,109.47526,15.37889,134.57213,two
101.91024,56.35356,108.03938,14.74572,133.90269,two
102.08144,56.26764,108.12586,15.12974,134.17308,two
101.72141,56.26616,107.69272,15.32786,134.89173,two
101.62677,55.39141,107.70721,14.97983,134.31902,two
102.71397,55.5794,110.98531,14.78554,132.6845,two
100.15904,55.09887,110.27167,15.29132,135.24541,two
98.84695,56.41159,93.30058,23.80105,160.17595,two
98.78697,56.32375,95.52647,21.6991,160.17412,two
98.06116,55.49631,96.15318,20.60091,160.20968,two
97.32578,55.26958,93.12722,22.64285,160.25916,two
97.53944,55.26376,90.86637,25.50001,160.20707,two
98.10732,56.21041,92.17357,25.17986,160.39643,two
98.45391,56.83478,94.19324,23.17716,160.24922,two
97.69006,56.35402,96.15456,20.67225,160.57659,two
97.45882,55.99236,96.60674,20.32109,160.46945,two
98.1121,56.38948,97.22139,19.64554,160.15963,two
104.5099,50.2672,101.23401,13.97135,146.83838,two
104.3325,49.77993,100.99359,13.81621,146.70928,two
102.65681,49.60853,100.86562,14.01314,146.50804,two
100.08101,47.42858,100.87265,14.06713,146.98446,two
100.87102,48.45432,100.73399,14.03877,147.50722,two
101.86795,47.95782,100.61424,13.91132,146.70587,two
103.52882,48.48316,101.1813,13.84643,146.19122,two
104.38869,49.17434,101.61542,13.53191,146.62389,two
103.83853,48.85352,101.63549,13.58251,146.08081,two
102.21683,47.72018,101.47447,13.99797,145.55703,two
95.61913,53.90873,96.79354,14.45098,139.44227,two
92.94345,54.16078,95.41985,14.18098,140.97127,two
94.49267,54.45148,95.54491,14.29376,141.38981,two
96.24731,56.13986,99.20297,14.6789,141.92181,two
96.06106,56.78415,100.30551,14.83159,142.46436,two
94.02887,56.73308,101.63243,15.17978,142.79221,two
93.87426,56.11886,103.15939,14.92248,142.03167,two
93.37458,55.26345,101.29135,14.83088,143.10719,two
95.37772,57.7609,104.65044,15.0341,144.42533,two
95.68215,56.47627,104.23519,15.01871,144.12345,two
97.14581,57.70982,103.22282,14.48794,158.85501,two
97.03602,57.69072,103.9079,14.35154,158.92003,two
97.15311,57.67896,105.9736,13.90942,158.94294,two
97.25377,58.46887,105.65444,14.09058,159.7859,two
96.79751,58.41323,105.39994,13.94175,159.2069,two
95.62029,57.38462,103.30644,13.83661,158.61367,two
95.43751,57.33292,103.96825,13.84819,158.819,two
95.89394,57.54618,106.27875,13.84839,159.14752,two
96.36108,57.538,106.34209,13.65659,158.57451,two
96.97513,58.02597,102.7444,14.20124,158.5619,two
110.52804,47.71982,116.83833,13.06101,162.24687,two
112.11574,48.12603,117.79806,13.20085,162.85045,two
113.11416,47.53587,117.79639,13.30277,163.57146,two
113.81519,45.57528,119.16645,12.89326,162.9264,two
112.84928,46.62424,121.2001,12.39679,161.01842,two
111.62212,44.72476,119.57144,12.57949,160.80495,two
110.66859,44.58638,118.31894,12.8585,161.21902,two
111.91217,45.564,116.9614,12.85454,162.08831,two
